benchmarkId,benchmarkRank,sourceBatchId,sourceItemId,sourceImage,adversarialCaseTypes,humanFinalDecision,humanFinalQid,autoSuggestedQid,autoSuggestedScore,baselineRoute,originalRoute,originalStatus,originalSignals,originalOutcome,calibratedRoute,calibratedStatus,calibratedSignals,calibratedOutcome,hardRisk,warningRisk,originalMeaningfullyFlagged,calibratedMeaningfullyFlagged,calibratedHardRiskSlip
adv-011,11,batch-015,screenshots/Screenshot 2026-04-07 at 18.24.39 1.png,screenshots/Screenshot 2026-04-07 at 18.24.39 1.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0840,q0653,41.927,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-012,12,batch-009,screenshots/Screenshot 2026-04-07 at 18.06.21.png,screenshots/Screenshot 2026-04-07 at 18.06.21.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0859,q0826,41.52,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-013,13,batch-005,screenshots/Screenshot 2026-04-07 at 18.00.45.png,screenshots/Screenshot 2026-04-07 at 18.00.45.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0654,q0804,41.235,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-014,14,batch-005,screenshots/Screenshot 2026-04-07 at 18.00.39.png,screenshots/Screenshot 2026-04-07 at 18.00.39.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0897,q0837,39.323,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-015,15,batch-015,screenshots/Screenshot 2026-04-07 at 18.24.34 1.png,screenshots/Screenshot 2026-04-07 at 18.24.34 1.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0856,q0653,39.071,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-016,16,batch-015,screenshots/Screenshot 2026-04-07 at 18.24.37.png,screenshots/Screenshot 2026-04-07 at 18.24.37.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0794,q0653,39.051,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-017,17,batch-003,screenshots/Screenshot 2026-04-07 at 17.50.45.png,screenshots/Screenshot 2026-04-07 at 17.50.45.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0470,q0610,38.872,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-018,18,batch-009,screenshots/Screenshot 2026-04-07 at 18.06.28.png,screenshots/Screenshot 2026-04-07 at 18.06.28.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0738,q0659,38.093,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-019,19,batch-017,screenshots/Screenshot 2026-04-07 at 18.26.08.png,screenshots/Screenshot 2026-04-07 at 18.26.08.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0785,q0866,37.763,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-020,20,batch-010,screenshots/Screenshot 2026-04-07 at 18.07.01.png,screenshots/Screenshot 2026-04-07 at 18.07.01.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0766,q0664,37.235,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-021,21,batch-006,screenshots/Screenshot 2026-04-07 at 18.01.19.png,screenshots/Screenshot 2026-04-07 at 18.01.19.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0682,q0812,34.179,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-022,22,batch-003,batch-003:screenshots/Screenshot 2026-04-07 at 17.50.32.png,screenshots/Screenshot 2026-04-07 at 17.50.32.png,unresolved|delete|image_heavy|ambiguous_near_match,delete-question,,q0389,33.03,likely unresolved,likely create-new-question,reroute,topic-subtopic-drift-risk|likely-create-new-question,routed,likely create-new-question,reroute,topic-subtopic-drift-risk|likely-create-new-question,routed,true,true,true,true,false
adv-023,23,batch-008,batch-008:screenshots/Screenshot 2026-04-07 at 18.04.36.png,screenshots/Screenshot 2026-04-07 at 18.04.36.png,override|answer_key_change|create_new|image_heavy|ambiguous_near_match,create-new-question,q0977,q0714,70.391,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-024,24,batch-011,screenshots/450.png,screenshots/450.png,override|answer_key_change|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0720,q0416,44.86,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-025,25,batch-020,screenshots/Screenshot 2026-04-07 at 18.28.29.png,screenshots/Screenshot 2026-04-07 at 18.28.29.png,override|answer_key_change|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0873,q0773,44.334,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-026,26,batch-016,screenshots/Screenshot 2026-04-07 at 18.25.19.png,screenshots/Screenshot 2026-04-07 at 18.25.19.png,override|answer_key_change|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0808,q0929,41.178,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-027,27,batch-009,screenshots/Screenshot 2026-04-07 at 18.06.11 1.png,screenshots/Screenshot 2026-04-07 at 18.06.11 1.png,override|answer_key_change|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0711,q0679,40.858,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-028,28,batch-003,screenshots/Screenshot 2026-04-07 at 17.50.20.png,screenshots/Screenshot 2026-04-07 at 17.50.20.png,override|answer_key_change|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0394,q0508,40.014,likely unresolved,likely unresolved,pass,,routed,likely unresolved,pass,,routed,true,true,true,true,false
adv-029,29,batch-011,screenshots/Screenshot 2026-04-07 at 18.19.03.png,screenshots/Screenshot 2026-04-07 at 18.19.03.png,override|answer_key_change|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0414,q0712,36.745,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-030,30,batch-016,screenshots/Screenshot 2026-04-07 at 18.25.20.png,screenshots/Screenshot 2026-04-07 at 18.25.20.png,override|answer_key_change|topic_drift|structural_risk|ambiguous_near_match,approve-existing-qid,q0450,q0516,44.772,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk,routed,true,true,true,true,false
adv-031,31,batch-005,screenshots/Screenshot 2026-04-07 at 18.01.06.png,screenshots/Screenshot 2026-04-07 at 18.01.06.png,override|answer_key_change|topic_drift|structural_risk|ambiguous_near_match,approve-existing-qid,q0404,q0435,43.982,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk,routed,true,true,true,true,false
adv-032,32,batch-010,screenshots/Screenshot 2026-04-07 at 18.06.59 1.png,screenshots/Screenshot 2026-04-07 at 18.06.59 1.png,override|answer_key_change|topic_drift|structural_risk|ambiguous_near_match,approve-existing-qid,q0609,q0599,45.777,manual review,manual review,warn,topic-subtopic-drift-risk,routed,manual review,warn,topic-subtopic-drift-risk,routed,true,true,true,true,false
adv-033,33,batch-001,screenshots/Screenshot 2026-04-07 at 17.49.49.png,screenshots/Screenshot 2026-04-07 at 17.49.49.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0781,q0895,36.743,manual review,manual review,warn,topic-subtopic-drift-risk,routed,manual review,warn,topic-subtopic-drift-risk,routed,true,true,true,true,false
adv-034,34,batch-007,screenshots/Screenshot 2026-04-07 at 18.03.44.png,screenshots/Screenshot 2026-04-07 at 18.03.44.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0789,q0710,48.674,manual review,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-035,35,batch-020,screenshots/Screenshot 2026-04-07 at 18.28.55.png,screenshots/Screenshot 2026-04-07 at 18.28.55.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0760,q0761,48.499,manual review,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-036,36,batch-017,screenshots/Screenshot 2026-04-07 at 18.26.34.png,screenshots/Screenshot 2026-04-07 at 18.26.34.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0660,q0662,48.289,manual review,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-037,37,batch-007,screenshots/Screenshot 2026-04-07 at 18.03.54.png,screenshots/Screenshot 2026-04-07 at 18.03.54.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0739,q0790,48.201,manual review,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-038,38,batch-009,screenshots/Screenshot 2026-04-07 at 18.06.38.png,screenshots/Screenshot 2026-04-07 at 18.06.38.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0744,q0862,48.039,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-039,39,batch-011,screenshots/Screenshot 2026-04-07 at 18.19.01.png,screenshots/Screenshot 2026-04-07 at 18.19.01.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0702,q0761,46.95,manual review,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-040,40,batch-007,screenshots/Screenshot 2026-04-07 at 18.03.43.png,screenshots/Screenshot 2026-04-07 at 18.03.43.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0820,q0693,46.285,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-041,41,batch-005,screenshots/Screenshot 2026-04-07 at 18.00.53 1.png,screenshots/Screenshot 2026-04-07 at 18.00.53 1.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0772,q0761,46.213,manual review,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-042,42,batch-018,screenshots/Screenshot 2026-04-07 at 18.27.07.png,screenshots/Screenshot 2026-04-07 at 18.27.07.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0839,q0365,45.956,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-043,43,batch-010,screenshots/Screenshot 2026-04-07 at 18.06.45.png,screenshots/Screenshot 2026-04-07 at 18.06.45.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0874,q0816,45.911,manual review,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-044,44,batch-019,screenshots/Screenshot 2026-04-07 at 18.27.48.png,screenshots/Screenshot 2026-04-07 at 18.27.48.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0827,q0816,45.866,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-045,45,batch-005,screenshots/Screenshot 2026-04-07 at 18.01.05.png,screenshots/Screenshot 2026-04-07 at 18.01.05.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0829,q0893,45.386,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-046,46,batch-006,screenshots/Screenshot 2026-04-07 at 18.01.27.png,screenshots/Screenshot 2026-04-07 at 18.01.27.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0616,q0619,45.058,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-047,47,batch-015,screenshots/Screenshot 2026-04-07 at 18.24.43 1.png,screenshots/Screenshot 2026-04-07 at 18.24.43 1.png,override|answer_key_change|structural_risk|ambiguous_near_match,approve-existing-qid,q0494,q0508,42.815,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk,routed,true,true,true,true,false
adv-048,48,batch-011,screenshots/Screenshot 2026-04-07 at 18.19.00.png,screenshots/Screenshot 2026-04-07 at 18.19.00.png,override|answer_key_change|structural_risk|ambiguous_near_match,approve-existing-qid,q0403,q0914,36.319,likely unresolved,likely unresolved,pass,,routed,likely unresolved,pass,,routed,true,true,true,true,false
adv-049,49,batch-008,screenshots/Screenshot 2026-04-07 at 18.04.42.png,screenshots/Screenshot 2026-04-07 at 18.04.42.png,override|answer_key_change|structural_risk|ambiguous_near_match,approve-existing-qid,q0161,q0173,33.432,likely unresolved,likely create-new-question,reroute,likely-create-new-question,routed,likely create-new-question,reroute,likely-create-new-question,routed,true,true,true,true,false
adv-050,50,batch-013,screenshots/Screenshot 2026-04-07 at 18.22.03.png,screenshots/Screenshot 2026-04-07 at 18.22.03.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0899,q0887,59.741,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-051,51,batch-008,screenshots/Screenshot 2026-04-07 at 18.04.18.png,screenshots/Screenshot 2026-04-07 at 18.04.18.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0464,q0380,58.441,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-052,52,batch-005,screenshots/Screenshot 2026-04-07 at 18.00.59.png,screenshots/Screenshot 2026-04-07 at 18.00.59.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0577,q0615,58.188,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-053,53,batch-005,screenshots/Screenshot 2026-04-07 at 18.01.00.png,screenshots/Screenshot 2026-04-07 at 18.01.00.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0614,q0624,57.967,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-054,54,batch-019,screenshots/Screenshot 2026-04-07 at 18.28.10.png,screenshots/Screenshot 2026-04-07 at 18.28.10.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0878,q0755,56.91,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-055,55,batch-003,screenshots/Screenshot 2026-04-07 at 17.50.41.png,screenshots/Screenshot 2026-04-07 at 17.50.41.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0748,q0747,55.547,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-056,56,batch-020,screenshots/Screenshot 2026-04-07 at 18.28.46.png,screenshots/Screenshot 2026-04-07 at 18.28.46.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0896,q0677,54.831,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-057,57,batch-015,screenshots/Screenshot 2026-04-07 at 18.24.23 1.png,screenshots/Screenshot 2026-04-07 at 18.24.23 1.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0880,q0875,54.632,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-058,58,batch-003,screenshots/Screenshot 2026-04-07 at 17.50.44.png,screenshots/Screenshot 2026-04-07 at 17.50.44.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0770,q0755,54.631,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-059,59,batch-005,screenshots/Screenshot 2026-04-07 at 18.00.53.png,screenshots/Screenshot 2026-04-07 at 18.00.53.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0884,q0895,53.752,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-060,60,batch-016,screenshots/Screenshot 2026-04-07 at 18.25.11 1.png,screenshots/Screenshot 2026-04-07 at 18.25.11 1.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0732,q0712,53.214,manual review,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-061,61,batch-013,screenshots/Screenshot 2026-04-07 at 18.22.16.png,screenshots/Screenshot 2026-04-07 at 18.22.16.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0747,q0929,52.631,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-062,62,batch-010,screenshots/Screenshot 2026-04-07 at 18.07.13.png,screenshots/Screenshot 2026-04-07 at 18.07.13.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0803,q0804,52.326,manual review,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-063,63,batch-016,screenshots/Screenshot 2026-04-07 at 18.25.04.png,screenshots/Screenshot 2026-04-07 at 18.25.04.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0586,q0601,51.878,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-064,64,batch-017,screenshots/Screenshot 2026-04-07 at 18.26.29.png,screenshots/Screenshot 2026-04-07 at 18.26.29.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0771,q0710,50.375,manual review,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-065,65,batch-005,screenshots/Screenshot 2026-04-07 at 18.00.44 1.png,screenshots/Screenshot 2026-04-07 at 18.00.44 1.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0757,q0820,50.172,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-066,66,batch-020,screenshots/Screenshot 2026-04-07 at 18.28.27.png,screenshots/Screenshot 2026-04-07 at 18.28.27.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0714,q0710,50.089,manual review,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-067,67,batch-016,screenshots/Screenshot 2026-04-07 at 18.25.24.png,screenshots/Screenshot 2026-04-07 at 18.25.24.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0826,q0690,47.053,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-068,68,batch-020,screenshots/Screenshot 2026-04-07 at 18.28.39.png,screenshots/Screenshot 2026-04-07 at 18.28.39.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0793,q0792,46.961,manual review,manual review,warn,image-sign-symbol-mismatch-risk,routed,manual review,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
